FGR
C3orf14
GNB4
SLC41A3
ARHGEF26
EPB41L5
ITGA4
EHBP1
IL1RL1
SLC9A2
AAK1
KISS1R
PARD3B
ELAPOR1
CD2
KIF21B
LGALS8
CD48
ADGRL2
CD46
SLC2A1
MPL
PTCH2
PLPPR5
KPTN
C1orf54
CA14
CNR1
SLC16A7
ABCG2
MFSD1
GALNT12
EPCAM
TEK
LRP11
PCDHB12
ENOX1
PLS1
CHRNA2
TNFRSF8
ZNF706
ADCY7
MAPK8IP1
GJB6
ADGRB2
CCR2
SASH3
LY9
OCM
RAMP3
RECK
PKN1
ADGRE5
ARHGAP9
LRP1
GPR83
PI3
CDH26
ABCC4
OPRL1
FLRT3
DSTN
GRPR
AMOT
FFAR1
RHOJ
PTPRB
F2RL3
VIL1
PTPN12
CDC42EP1
CCDC136
MYO1B
CGNL1
ISLR
EPB41L4A
TSPAN16
LRCH2
SLC27A1
SNX9
KLHDC7B
CRB3
TNNI2
ATXN10
ZNF337
FIBCD1
MPP1
EDA2R
ZNF227
ANO1
RHOXF2
RAI2
USP29
VPS13B
PCBD2
FLOT2
SNAP25
ARHGEF11
RAB25
ZBED3
PATJ
NMUR2
ATP8A2
CHRM3
LGR6
STOML3
EPHB2
TMEM254
SWAP70
UNC79
CD180
VTCN1
NAPG
SLC38A2
IL6ST
SLCO1B1
KLRC1
DSC2
APC
CEMIP2
OCM2
HTR1B
NT5E
ITGA7
REPS1
TEC
CHRND
FLNB
SCEL
EDNRB
LCP1
DGKB
MYO1G
IREB2
ERMN
SCN7A
ZNG1B
CCDC115
GYPC
SLC31A2
HCRTR2
TLR2
SLCO5A1
RDX
PARP6
SEMA6D
LHCGR
SLC5A6
STAMBPL1
CHRNA1
ANXA3
RGS3
PIK3C2G
LPAR6
ARMH4
SLC38A6
SLC24A4
ARRDC4
CDH13
LRRC46
SLC14A1
SLC16A3
TNFRSF11A
ERBB2
PLPP2
ACP4
SLC2A5
EVA1B
TMEM61
GPR161
ILDR2
NECTIN4
FCGR2A
ATP8B2
AQP10
GUK1
PLEKHA6
SLC20A1
FBLN7
PKP4
PTPRG
ADGRG7
IGSF11
SRPRB
CORIN
DDIT4L
USP53
LHFPL2
MEGF10
TIMD4
PSD2
GFRA3
DOK3
PPP1R18
SCUBE3
SLC2A12
MSN
SLC16A2
GPR174
LPAR4
IL2RG
GPC3
DOK2
ZNG1E
NTRK2
AOPEP
FAM171A1
HTR7
ADD3
ADAM12
SLC5A12
TNKS1BP1
NCAM1
C11orf52
ADAM33
CCDC15
ESAM
MPZL2
DOC2A
KLRF1
MPP7
CDH8
TMEM218
CD226
DLG2
ANK3
DLG5
MAGI1
EPS8
GABRA2
PSTPIP2
CLEC4F
IFIT5
UTRN
PTPRK
MARVELD2
MR1
MERTK
TMEM251
ADPRHL1
CMTM7
FBXL2
CD8A
C16orf74
ROBO4
ROBO3
DISP1
TMPRSS15
JAM2
FGD5
PIEZO2
RSPH10B
PI4K2A
SAMSN1
HYCC2
SLC24A2
SLC28A1
CD109
LRFN2
NPTN
MS4A1
C8A
FZD1
KIT
KCNJ15
PALM2AKAP2
SLC34A2
UBXN11
WASF2
SLC13A3
PPP1R9A
CCDC24
ITGB2
SHKBP1
JAML
ANO10
PPP1R16A
PGLYRP2
AP2M1
SHANK1
PLCD3
AQP5
SSTR5
ADCY9
PPP1R32
PDPN
SYNC
LRRIQ3
B3GALT2
NTNG1
VCAM1
SLC9C2
FLVCR1
RFTN2
ANKRD30BL
XIRP2
PDLIM5
CCNYL1
ALPP
GABRG1
ALPG
ALPI
TMEM183A
ADORA1
TGFBR2
TRAT1
FBLN2
ICOS
CD200R1
PRRT3
TM4SF18
CLDN19
MAP9
ASB5
STARD4
F2RL1
ANKRA2
CALHM4
DAGLB
GALNT10
CSMD3
OSR2
FZD6
ABCA1
CLDN3
GAPVD1
AQP3
FAT3
CFL2
AMER2
OXGR1
FRMD7
SLC39A2
TTC7B
HTRA1
STXBP4
APBB1
DCHS1
GALR1
RRAD
KIF7
ANPEP
SCNN1G
MS4A15
COQ7
CRK
LOXHD1
MYO5B
PRRT2
AXL
LAIR1
CDC42EP5
PSCA
TRPV3
CD300A
CTNNB1
PCMTD1
CX3CR1
FILIP1L
MLKL
KCNG4
CAVIN2
SERINC2
GFRA2
IL7R
SLC35G2
PXDC1
SIGLEC7
KLK7
RAB3B
ADRB2
GPRIN1
RSPH10B2
PTAFR
KCNK9
SDC2
GPR183
DUS1L
LINGO1
ROBO1
TM4SF4
TAS1R3
ADRA1B
SLC30A1
DNAJC18
SMAGP
CDH2
CHCHD7
PAQR8
CAVIN3
ALK
MTM1
GRIK1
DSEL
LPAR3
RGS19
AQP4
GAP43
CD8B
GNB2
C2CD2L
SNTG2
PDE3A
CFL1
RAB43
ZNG1A
MRGPRF
VANGL1
SLC2A14
GPR148
KCNK7
PTPRM
FKBP2
CSPG4
CCR9
CEP83
SLC19A1
CNP
GPR160
SLCO4C1
TLR10
TNK1
SH3PXD2B
FZD4
CD248
PACS1
CST6
OR10P1
KCNE3
GPR156
KDF1
PRIMA1
CCDC168
GAPT
TPRN
MC5R
ZBTB8OS
BASP1
MTHFR
ZDHHC22
CASKIN2
CAVIN1
CD163
SRRM3
PARD6G
AQP11
CD28
OR6B3
CD300LB
TMEM139
TMTC2
LDLRAD3
CDH4
SMCO3
SHARPIN
LSMEM2
CDH5
NRXN1
CXCR2
C11orf42
CMTR2
CHRM2
OR6B2
CAV3
PLCB1
KCNB2
ANXA2
HCAR2
GJC1
CADM1
MCEMP1
OTOP2
CCR3
PRR32
CMKLR2
TMEM50A
CCR4
SCN5A
KCNH8
TMPRSS2
TACSTD2
PRKD1
SLIT3
PKP3
CSF1
PLA2G6
SLITRK6
LRRC26
APOBR
DRD1
TMEM186
SEMA4B
IFITM2
GAS2L1
MUC1
EVI2B
LEMD1
ATP4B
FFAR4
GABRA5
BACE1
RGS9BP
THBS2
FCAR
GNG2
PCLO
NF2
KANK3
SLIT1
FNBP1
EPOR
ATP13A5
PLEKHN1
TRPV2
ARL4C
TREML4
COL4A5
NHS
PPP3R2
LCTL
LIPI
APOD
GAGE2A
IL1RAPL2
CLDN4
GJB4
PLEKHG4
KIF19
OR2C3
ARL9
HRH1
HSH2D
CD47
ADA
ZNG1C
SCN8A
TBC1D9B
SVIL
SPN
PCDHB11
SIPA1L1
CCDC154
CDC42SE1
MBP
CD2AP
CACNA1E
MYL4
TCAF1
ANKRD35
CTNND1
CCDC69
DLL1
SLC5A3
ARHGEF15
C1orf68
CR1
RHOXF2B
LIPJ
LILRB3
DDR1
MAS1L
GPR20
PCDHA5
PCDHA1
DENND6B
ITSN1
CRLF2
GAGE1
KLRC2
IFITM5
HLA-A
COLQ
ARHGAP19
PTPRCAP
LAT
KLRK1
LTB4R2
CLDN9
SH3D21
SPINK13
FER1L6
LRRC69
GRID2IP
ZNG1F
GAGE12G
PPP3R1
PLXNA4
CDRT15
HLA-DPB1
GAGE12J
GAGE12H
SLC26A6
GAGE12D
CFAP97D1
TMEM229A
GAGE12F
GAGE12C
PCDHGC3
AQP1
ARPC1A
ENSG00000241690
LILRA6
FCGR2C
FER1L5
ENSG00000250424
LYN
HCAR3
C20orf141
ITGB3
PCDHGB3
RHEX
TXNIP
TRABD2B
GAGE13
GAGE2E
FCGBP
OR13C2
PIGW
SRCIN1
MARCKS
OR13C5
SSTR3
TEX13C
ENSG00000284292
ENSG00000285947
