"Gene1","Gene2","Correlation"
"CALCRL","EDNRB",0.693904549399488
"DOK3","MAP4K1",0.693647726970923
"GNG2","SAMSN1",0.693428677173338
"ICOS","MYO1G",0.692375642210129
"PDE3A","RFTN2",0.691676081757515
"ELN","FBLN2",0.691536401115311
"CALCRL","JAM2",0.691414179167946
"JAM2","RECK",0.690779051623466
"ARHGEF15","ICAM2",0.689480811939891
"ELN","RECK",0.689157817530469
"ADAM12","SLIT3",0.688917404727348
"ABCB1","PPP1R16B",0.688677560842631
"RFTN2","TGFBR2",0.68853885940879
"CCR4","MS4A1",0.688406646454168
"MRGPRF","RECK",0.68797666250645
"GNG2","RECK",0.687416413857544
"GAS7","SLC24A2",0.687367099759031
"CDH13","CDH5",0.686492189292725
"CD48","PPP1R16B",0.686450490884555
"SIGLEC7","TNFSF13B",0.685665948754432
"TGFBR2","THBS2",0.684969174945435
"BMX","CDH5",0.684385704118617
"CCDC69","MAP4K1",0.684331970753669
"GAS7","JAM2",0.684196875112013
"IL12RB1","MS4A1",0.68385532913236
"ADGRA2","SLIT3",0.683169094122878
"NT5E","PLAUR",0.681012667638481
"JAM2","LRCH2",0.680297619786428
"PDE3A","TEK",0.679672976577653
"CALCRL","PLPP1",0.677771650671693
"ADAM12","TGFBR2",0.677187268498527
"CD2","PPP1R16B",0.676919484339068
"PDE3A","RECK",0.67666352515529
"FBLN2","SLC24A2",0.676562224628859
"LRP1","MRGPRF",0.676430538519307
"MYO1G","SIGLEC7",0.676183808044728
"FBLN2","SLIT3",0.676017716207925
"CDH5","PDE3A",0.675557243313444
"ADGRA2","TGFBR2",0.675457048838414
"ADAM12","MRGPRF",0.674862770822157
"FILIP1L","GAS7",0.674851023786328
"CORIN","PRKD1",0.674398747462221
"LRP1","NT5E",0.674046049818701
"GNG2","GYPC",0.672965330644153
"GAS7","SLIT3",0.671255901205554
"CDH13","PTPRB",0.670860941731861
"CDH5","TGFBR2",0.67058925148719
"JAM2","PDE3A",0.66986676261782
"PDE3A","PTPRB",0.66975216849248
"DOK3","MYO1G",0.669665332391473
"ICAM2","ROBO4",0.669664098993035
"CCDC69","TRAT1",0.669524902003855
"MRGPRF","THBS2",0.669396655420862
"CORIN","NT5E",0.66914233179072
"FILIP1L","GNG2",0.668773357212592
"CCDC69","CD2",0.668274241835381
"FBLN2","NT5E",0.66762185207449
"ADGRA2","CDH5",0.667071730247407
"CORIN","FILIP1L",0.666660051879047
"GNG2","RHOJ",0.666563217234453
"ARHGEF15","PTPRB",0.666483236971298
"ELN","LRP1",0.666164187963848
"CSPG4","ESAM",0.665703578765146
"CALCRL","TGFBR2",0.665173439158388
"ABCB1","TRAT1",0.663823540928277
"IL12RB1","PPP1R16B",0.663443793099943
"EPB41L2","TGFBR2",0.663265521884203
"AQP1","BMX",0.663142849317783
"ICOS","MS4A1",0.662720987436992
"CCR4","GNG2",0.661819786527078
"MCAM","RHOJ",0.661766169204002
"CORIN","LRCH2",0.660726331136043
"PLPP1","TEK",0.659978941173886
"AQP1","PTPRB",0.659851863497781
"CD248","MCAM",0.659704132270077
"ADAM12","ERMN",0.658752452517137
"ABCB1","CCR2",0.65844578764215
"BMX","JAM2",0.658007735349394
"CALCRL","ESAM",0.657737768862961
"AQP1","ICAM2",0.657608464111949
"NT5E","SLIT3",0.656545687435686
"ARHGEF15","CALCRL",0.656379475878521
"FILIP1L","RFTN2",0.655759892296149
"SAMSN1","TGFBR2",0.655643696989115
"GNG2","ICAM2",0.6547712469735
"PTPRB","TGFBR2",0.654577451105636
"AQP1","CALCRL",0.654376317024837
"CCDC69","CD48",0.654206012837178
"GAS7","NT5E",0.654116995575854
"RHOJ","TGFBR2",0.654083209315495
"CDH5","PLPP1",0.653494131044705
"ELN","MRGPRF",0.65310593862644
"CD248","ROBO4",0.651466196389778
"CCDC69","IL12RB1",0.650942331734447
"ARHGEF15","BMX",0.650599432242921
"SIGLEC7","TNFRSF9",0.650371665535015
"CCDC69","MS4A1",0.649975857047223
"ADAM12","ELN",0.649929366328064
"CDH13","TEK",0.649868003661249
"FBLN2","FILIP1L",0.649838453616508
"ARHGEF15","MCAM",0.649777624181279
"MCAM","PDE3A",0.648668684843251
"PLPP1","PTPRB",0.648319436526289
"CDH5","GNG2",0.648289893071484
"CORIN","FBLN2",0.647815307680944
"ELN","SLIT3",0.64709176501033
"DOK3","TNFRSF9",0.646944352575158
"TNFSF13B","TRAT1",0.646729015656273
"CSPG4","ROBO4",0.646265142138573
"CCR2","SIGLEC7",0.646203766589253
"EDNRB","PLPP1",0.644611776648526
"GAS7","LRCH2",0.644390523146822
"ESAM","TEK",0.643465173981117
"BMX","RHOJ",0.643186947787958
"ADGRA2","PDE3A",0.643038618789602
"CORIN","SLIT3",0.642271468211317
"FILIP1L","SLC24A2",0.641668275367466
"FILIP1L","PDE3A",0.641310624066726
"ABCB1","PTPRB",0.640905420202044
"ABCB1","CCDC69",0.640841210585126
"GNG2","TEK",0.640388491925194
"ADGRA2","TEK",0.640268541051805
"ICAM2","TEK",0.639782520561406
"PTPRM","SLIT3",0.639415248484715
"ADGRA2","MCAM",0.639400027695367
"PDE3A","TGFBR2",0.638999511436908
"ABCB1","TEK",0.638882808824466
"CDH13","RHOJ",0.638801228743433
"LRP1","SLC24A2",0.638717282167935
"ADGRA2","CD248",0.637877527135168
"FBLN2","PLAUR",0.637818926984605
"ESAM","ICAM2",0.637091124834116
"ROBO4","TEK",0.636671969470209
"CORIN","MRGPRF",0.636347312520319
"ADGRL2","PDE3A",0.636311285205497
"PTPRM","RECK",0.635596648991044
"NT5E","TNFSF13B",0.635315632774
"ADAM12","ADGRA2",0.634922283937986
"FFAR4","SIGLEC7",0.633908217786203
"FILIP1L","LRP1",0.633733079131465
"LRP1","PLAUR",0.633610187302485
"COL17A1","KLK7",0.633498144630013
"CDH13","MCAM",0.633288769740691
"DOK3","TNFSF13B",0.633171351111762
"ELN","JAM2",0.633104169782183
"ERMN","PLAUR",0.632392694045699
"ADAM33","FBLN2",0.632267082227084
"PRKD1","SLC24A2",0.632229631795925
"MYO1G","TRAT1",0.632077915378303
"MYO1G","SAMSN1",0.632015363673904
"CCDC69","IL2RG",0.63148588577642
"CDH5","EDNRB",0.631441783199786
"ABCG2","PTPRB",0.630663824698394
"ESAM","PDE3A",0.630495384110802
"ADGRA2","CDH13",0.630270826284669
"ESAM","JAM2",0.629294957646799
"CCR4","TGFBR2",0.629009078802217
"CDH5","RFTN2",0.628293441456472
"CD2","DOK3",0.627864036102328
"CHRNA1","NT5E",0.627236437358764
"CD248","GYPC",0.627148672297259
"LRP1","PTPRM",0.626935935764801
"CD248","RHOJ",0.626769174591904
"MAP4K1","TNFSF13B",0.626061259808847
"PTPRM","TEK",0.625946987040781
"ADGRA2","GAS7",0.625899343606801
"ELN","THBS2",0.625718245369878
"ADAM12","RFTN2",0.625660291290933
"CALCRL","GNG2",0.625028260830116
"ADGRL2","CALCRL",0.624742033241883
"GNG2","TNFSF13B",0.624252877118868
"CCDC69","MYO1G",0.624034395679153
"ICAM2","JAM2",0.623606346552839
"ICAM2","RHOJ",0.622865322909619
"ADGRL2","CDH13",0.622473957160696
"PDE3A","PTPRM",0.62209514759927
"LRCH2","MRGPRF",0.621851562037532
"CD248","ESAM",0.621552125326482
"CDH5","PTPRM",0.621166801089582
"FBLN2","TGFBR2",0.620872108102028
"ADGRA2","RHOJ",0.620431224700008
"CDH13","TGFBR2",0.619884791905755
"DOK3","SAMSN1",0.619704119440881
"GYPC","ROBO4",0.619602986640905
"ADGRA2","FILIP1L",0.619430819109192
"DOK3","SIGLEC7",0.619220198496779
"ICOS","PPP1R16B",0.618983778263434
"CCDC69","CCR4",0.618624926812236
"ADAM12","PRKD1",0.618117369369867
"CCR4","MYO1G",0.618057962916775
"ARHGEF15","JAM2",0.617836604925719
"ADGRA2","PTPRM",0.617636902396516
"EPB41L2","GNG2",0.61748597496774
"MS4A1","TNFRSF9",0.61737577281761
"PPP1R16B","SAMSN1",0.616984334018151
"LRCH2","PRKD1",0.616521012632446
"CDH13","PTPRM",0.616479038111384
"ADGRA2","RECK",0.616414512608337
"ERMN","NT5E",0.61618222158376
"JAM2","ROBO4",0.616170056374703
"JAM2","PTPRM",0.615351153364788
"ELN","SLC24A2",0.61475343635348
"LRCH2","LRP1",0.614556663884977
"BMX","CALCRL",0.613434054222845
"MS4A1","SAMSN1",0.613263102439986
"FBLN2","PRKD1",0.612918466318805
"ADAM12","PLAUR",0.612834626940434
"RECK","SAMD4A",0.612670045331536
"ADGRA2","ELN",0.612587496516644
"ICAM2","TGFBR2",0.612469752903891
"ADGRA2","CSPG4",0.61233925452929
"PRKD1","SLIT3",0.612337824324236
"ADAM12","SAMD4A",0.612260635884122
"GYPC","JAM2",0.612242088541549
"GAS7","SAMSN1",0.611987999596604
"PRKD1","THBS2",0.611919597595602
"PTPRM","RHOJ",0.611418368239804
"PDE3A","SLIT3",0.611202566145202
"CORIN","LRP1",0.611139779826175
"GYPC","ROBO3",0.609645797625885
"FAM171A1","JAM2",0.609231314464665
"MRGPRF","NT5E",0.608643160167276
"IL2RG","PPP1R16B",0.607948757353944
"CALCRL","ROBO4",0.607443905966232
"ADAM12","PTPRM",0.607441784075185
"FBLN2","LRCH2",0.607274227758505
"NT5E","PRKD1",0.607173672655312
"LRCH2","SLIT3",0.607114468416063
"GAS7","MRGPRF",0.607097255872694
"ADAM12","GNG2",0.606609998534625
"ADAM33","GAS7",0.60614112264089
"CDH13","ESAM",0.605698213959058
"ADGRA2","FBLN2",0.605500483603859
"LRCH2","RHOJ",0.605045952090987
"ABCG2","RHOJ",0.604632129427519
"ABCB1","CD2",0.604458866379763
"ADGRA2","JAM2",0.603858655762188
"RFTN2","TEK",0.603647813776718
"ADAM12","PDE3A",0.603487922033379
"GNG2","PTPRM",0.603335218457618
"CCDC69","ICAM2",0.603187437258716
"GNG2","TNFRSF9",0.602851818056324
"ICOS","SIGLEC7",0.602546641250364
"CD2","GNG2",0.602312744283325
"PTPRB","PTPRM",0.602212263940471
"GAS7","GYPC",0.602153591408734
"ABCB1","MS4A1",0.602124457362829
"SLC24A2","SLIT3",0.601835903022804
"CD48","GYPC",0.601634383612139
"FILIP1L","SAMD4A",0.601491768466709
"PLAUR","THBS2",0.601438297307776
"GNG2","PPP1R16B",0.601265967042699
"ICAM2","PPP1R16B",0.601104770272893
"ADAM33","RECK",0.600835522926431
"JAM2","PLPP1",0.600457918908293
"GYPC","TGFBR2",0.600128028099119
"PTPRB","ROBO4",0.599655611835189
"ERMN","SLC24A2",0.599088252437376
"EDNRB","TEK",0.598954618573219
"DOK3","ICOS",0.598517858620389
"ABCB1","BMX",0.598268046374031
"AQP1","PLPP1",0.598108383495093
"ADGRA2","ROBO4",0.598038992413942
"NT5E","RFTN2",0.597712100196702
"CD2","SIGLEC7",0.596347928702762
"AQP1","GYPC",0.596163406515914
"CCR2","GNG2",0.595378186677516
"GNG2","NT5E",0.595253963514875
"FILIP1L","JAM2",0.594556685187985
"ICOS","SLCO5A1",0.594527406102539
"MRGPRF","PTK7",0.594435709906452
"GYPC","LRP1",0.594263250783184
"CSF1","FCGBP",0.593933383293108
"MRGPRF","PLAUR",0.593547246556613
"AQP1","MCAM",0.593292368851168
"ABCG2","CALCRL",0.593262291341054
"ADAM12","CD248",0.592799739250083
"ABCB1","CD48",0.59234712078466
"FILIP1L","MRGPRF",0.591495004462158
"GYPC","MAP4K1",0.59145906573513
"CD248","MRGPRF",0.591444340668116
"ERMN","FILIP1L",0.591272442860996
"ADGRL2","TEK",0.591213333801506
"ESAM","PTPRB",0.590667875932777
"GYPC","IL12RB1",0.589997200177841
"PTPRM","RFTN2",0.589687173854984
"FAM171A1","RHOJ",0.589575040798114
"LRP1","PRKD1",0.589300638659725
"GNG2","TRAT1",0.588125356191121
"GYPC","IL2RG",0.587519618134922
"DOK3","TRAT1",0.587102809589032
"ARHGEF15","KANK3",0.586983533399983
"TGFBR2","TNFSF13B",0.5866474655852
"LRCH2","TNFSF13B",0.586498540160874
"CD48","GNG2",0.585514100747005
"GNG2","PDE3A",0.58474782967791
"FFAR4","SAMSN1",0.584629383377324
"CDH5","LOXHD1",0.584481202123495
"FILIP1L","PRKD1",0.584142984325629
"MRGPRF","SLC24A2",0.583802780501452
"MYO1G","TNFSF13B",0.583149024562901
"KANK3","ROBO4",0.5829808873698
"FILIP1L","PLAUR",0.582172969823697
"MAP4K1","SIGLEC7",0.581999165280759
"CSF1","CX3CR1",0.581887371328523
"PRKD1","RFTN2",0.581886266675733
"ADGRL2","PTPRB",0.581595122086546
"NT5E","SLC24A2",0.581588703548696
"ABCB1","GNG2",0.581548730416115
"PPP1R16B","TNFRSF9",0.580845468625288
"CORIN","PLAUR",0.580643520451832
"CALCRL","RFTN2",0.58051547359738
"CCR4","SIGLEC7",0.580198779107305
"JAM2","SLIT3",0.580165376694066
"ADGRA2","MRGPRF",0.580044370191962
"CHRNA1","THBS2",0.579309691456453
"ADAM12","JAM2",0.578687310848949
"CCDC69","GYPC",0.578588275441881
"ABCB1","CCR4",0.578192769672297
"MS4A1","MYO1G",0.578189994844813
"IL2RG","SIGLEC7",0.577971414518861
"MRGPRF","SLIT3",0.577234557919009
"FAM171A1","RFTN2",0.575675496078615
"GUK1","RAB25",0.574564914057402
"CD48","ICAM2",0.574309760831622
"GNG2","LPAR6",0.573990673666837
"LRP1","SAMD4A",0.573484220633357
"GAS7","PTPRM",0.573451191489
"MAP4K1","SLCO5A1",0.573122462108604
"ABCG2","TEK",0.57291366504107
"ADGRA2","ESAM",0.572875507197889
"CCDC69","ICOS",0.571976862333873
"ADGRL2","RHOJ",0.571868757415881
"PLPP1","RHOJ",0.571814347867335
"ABCB1","SAMSN1",0.571347238219151
"FFAR4","LRP1",0.571273600478009
"AQP1","TGFBR2",0.570941219091695
"FBLN2","PTK7",0.570256293362082
"MRGPRF","PRKD1",0.570029124957839
"GAS7","RFTN2",0.569017465931752
"RECK","RHOJ",0.568934244005866
"RFTN2","SLIT3",0.568882993147089
"CALCRL","PTPRM",0.568798653207853
"PTPRM","THBS2",0.568759594771939
"GNG2","PTPRB",0.568671656633378
"ABCB1","ICAM2",0.568245970748255
"ADAM33","JAM2",0.567670279009765
"BMX","PLPP1",0.567540740375227
"FILIP1L","RHOJ",0.567344064165809
"ERMN","RECK",0.566779855080701
"ARHGEF15","GYPC",0.566081947428309
"FAM171A1","TEK",0.565612753924486
"CD2","SLCO5A1",0.565508097604218
"ICAM2","IL12RB1",0.563626247320712
"FFAR4","GAS7",0.56351295505531
"PLAUR","TNFSF13B",0.563478188083841
"DUS1L","GUK1",0.563013029501681
"ELN","TGFBR2",0.562819730043667
"CDH13","RFTN2",0.56277780311271
"FILIP1L","PTPRM",0.562619156728241
"CDH13","FILIP1L",0.562376949742802
"PLAUR","RECK",0.5623486174502
"CD248","CSPG4",0.562340256706338
"BMX","ICAM2",0.562323088063457
"ADGRA2","PTPRB",0.561991723176889
"ERMN","LRCH2",0.561422453273655
"HLA-A","IL2RG",0.561327794859221
"HLA-A","IL12RB1",0.561092414148628
"RFTN2","SLC24A2",0.560126766560005
"CDH13","SLIT3",0.559842688274849
"ARHGEF15","CSPG4",0.559559277058104
"MYO1G","PPP1R16B",0.559436700810251
"CDH13","RECK",0.558606260850992
"CD2","GYPC",0.558557331057204
"PLAUR","SAMD4A",0.557902985371113
"FILIP1L","TNFSF13B",0.557007472603009
"ABCB1","TGFBR2",0.556616200653244
"SAMD4A","THBS2",0.556439223495081
"ILDR2","THBS2",0.555864269773095
"CDH13","ROBO4",0.555680278577884
"ERMN","THBS2",0.55567735904197
"CD248","FILIP1L",0.555328820438781
"RECK","TNFSF13B",0.555217029869314
"CCR2","TGFBR2",0.554700082959043
"ADAM12","ADAM33",0.554601848538991
"CORIN","SAMD4A",0.554598339436671
"FBLN2","GYPC",0.554509332342707
"ABCG2","PDE3A",0.553921401298711
"CDH13","ITGB3",0.553824848808064
"NT5E","SAMD4A",0.553779146952076
"EHD2","SLIT3",0.553758265150797
"ABCG2","CDH5",0.553497506898687
"ARHGEF15","LOXHD1",0.553054534775548
"CD248","CDH5",0.55282111427883
"ITGB3","PTPRM",0.552055524738327
"AQP1","EDNRB",0.552039768200139
"ABCB1","JAM2",0.551597634085293
"EPHB2","SIGLEC7",0.551380837329712
"IL2RG","SLCO5A1",0.551097620387797
"GNG2","IL2RG",0.550792001081
"CCR2","ICAM2",0.550758541539748
"CORIN","GAS7",0.549935664210808
"CD248","ELN",0.549684546874679
"PDE3A","PTPRG",0.549579399323601
"CDH13","LRCH2",0.549272160035517
"ADAM12","CHRNA1",0.549256001222271
"PDE3A","ROBO4",0.549128196042685
"ADAM33","LRP1",0.54894303439009
"JAM2","NT5E",0.548262739505395
"ARHGEF15","ITGA7",0.548236801996416
"CD2","ICAM2",0.547983599640029
"AQP1","PDE3A",0.547785375517397
"ERMN","LRP1",0.547290070339465
"CCDC69","CLIC5",0.547143285364419
"PTPRB","RFTN2",0.547115951049662
"EHD2","MRGPRF",0.547073769570446
"FBLN2","JAM2",0.5459501482979
"ABCB1","CALCRL",0.545846724388552
"LRCH2","PTPRM",0.545768430134009
"ITGB3","PDE3A",0.545693341848454
"ADGRL2","CDH5",0.54551859163759
"ADAM33","SLIT3",0.545099588722443
"ESAM","PLPP1",0.544926120106536
