"Gene1","Gene2","Correlation"
"CSF1","MYO1G",0.656442552439228
"CCDC69","GNG2",0.655846474887137
"ICAM2","SIGLEC7",0.65555827627532
"B3GALT2","ICOS",0.655090007389994
"PPP1R16B","SIGLEC7",0.653839588004379
"PPP1R16B","ZDHHC2",0.653715922786615
"KANK3","PTCH2",0.653470903552224
"CLIC5","ICOS",0.653230371902434
"CLIC5","SAMSN1",0.652488084810776
"BMX","PLPP1",0.652237747525324
"CCDC69","TNFRSF9",0.6521399817564
"AQP1","ITGA7",0.651639556091759
"ADGRA2","FBLN2",0.651631707391828
"CD48","GYPC",0.651588057116415
"CCDC69","CMTM7",0.651299664985706
"GAS7","XYLT1",0.65125123719202
"B3GALT2","CD48",0.651186197883044
"DSEL","SLIT3",0.65085259160726
"AQP1","LOXHD1",0.650596092828246
"GAS7","RFTN2",0.650296700630432
"KANK3","TNNI2",0.649798706436627
"CDH13","XYLT1",0.649603158414562
"CCDC69","GYPC",0.649354844107371
"ABCB1","GNG2",0.649234240023821
"CSF1","SAMSN1",0.648934714594412
"APOBR","KANK3",0.64853392770927
"CLIC5","IL12RB1",0.648407218448335
"PTPRM","TGFBR2",0.648058431907065
"CDH13","LRP1",0.647906335751
"CORIN","SLC24A2",0.647850884322305
"RECK","SLC24A2",0.647468912932453
"CLIC5","ICAM2",0.64682402188993
"EDNRB","PTPRB",0.646265350533506
"ARHGEF15","ITGA7",0.645035799880566
"B3GALT2","PPP1R16B",0.644654682164917
"CDH13","SLIT3",0.644478327856724
"EPB41L2","FILIP1L",0.643320903547356
"CORIN","LRCH2",0.643190262264975
"FBLN2","LRCH2",0.642895034851161
"MAP4K1","TNFSF13B",0.642113585707211
"LRP1","PTPRM",0.641985814096528
"SIGLEC7","ZDHHC2",0.641930595455398
"CALCRL","TGFBR2",0.641670648072829
"ADAM12","RFTN2",0.641181170512227
"CSF1","SIGLEC7",0.641036366037394
"ADAM12","TGFBR2",0.640783929355006
"DSEL","RFTN2",0.640753710376549
"PTCH2","RAMP3",0.64010458302384
"DSEL","EHD2",0.639976856458384
"CCDC69","RAMP3",0.639528944774732
"ARHGEF15","CALCRL",0.6395175241776
"CALCRL","RHOJ",0.639324474119656
"ABCB1","CCR2",0.638975704791602
"PLPP1","TEK",0.638635168017165
"CCR4","ICAM2",0.638338003829185
"ARHGEF15","BMX",0.637605555406631
"GYPC","ROBO4",0.637385663699844
"MBP","PPP1R16B",0.637376263854013
"CCR2","DOK3",0.636771379870962
"CSPG4","EHD2",0.636564257529334
"ESAM","RAMP3",0.636541048917832
"CMTM7","PPP1R16B",0.636200066119752
"CD248","MCAM",0.636134035510754
"B3GALT2","SAMSN1",0.635463273365303
"PPP1R16B","TNFSF13B",0.635278434016855
"GNG2","SLC16A7",0.634756630171355
"B3GALT2","TNFSF13B",0.634726713208699
"ITGA7","RAMP3",0.634163611527298
"ARHGEF15","GYPC",0.633599073474086
"B3GALT2","CD2",0.633480152288065
"GAS7","ZDHHC2",0.632952005882687
"TEK","TGFBR2",0.632949227634237
"CSF1","MRGPRF",0.632786544933282
"PTPRM","SLIT3",0.632176958305344
"EDNRB","JAM2",0.631924654437836
"LRP1","PTPRG",0.631839386488166
"CDH13","RFTN2",0.631477024111161
"CMTM7","MS4A1",0.631287608899448
"ADAM12","ADGRA2",0.631143179927426
"LOXHD1","TEK",0.631066776195738
"RECK","XYLT1",0.63097316383062
"CCR4","ZDHHC2",0.630521307374579
"CORIN","LRP1",0.630417464255996
"CDH13","RECK",0.62976991649421
"CSF1","GNG2",0.629365455372963
"PDE3A","SLIT3",0.629321734823041
"EHD2","RFTN2",0.629230665790829
"MAP4K1","RAMP3",0.628911386550528
"PLPP1","PTPRB",0.628613406485191
"ICAM2","TNFSF13B",0.628440766744673
"PTPRG","PTPRM",0.628304830184139
"CD248","GYPC",0.628131740880967
"CORIN","FBLN2",0.627624425206116
"ADGRA2","CDH13",0.627148497824314
"EHD2","PDE3A",0.627018577266734
"CCR2","SIGLEC7",0.626872932351903
"ADGRA2","JAM2",0.626842643562327
"ADAM33","ELN",0.626703260505792
"ABCB1","BMX",0.626673705369203
"ADGRA2","CSPG4",0.626563910429005
"CCR4","CMTM7",0.626116050358661
"ADGRA2","FILIP1L",0.625520758903587
"RFTN2","SLC24A2",0.625105727943223
"IL12RB1","RAMP3",0.625087305646747
"LRCH2","PTPRG",0.624984866927648
"CCR2","CMTM7",0.624976718317751
