"Gene1","Gene2","Correlation"
"MAP4K1","MS4A1",0.695751818412239
"ABCB1","CD2",0.695651043228275
"ABCB1","PPP1R16B",0.695270628709494
"ABCB1","CLIC5",0.694294528407334
"APOBR","MYO1G",0.693530131501414
"CD248","MRGPRF",0.692187825287717
"CCR4","IL12RB1",0.692100042812589
"ICOS","MAP4K1",0.692093996505776
"CCR2","CLIC5",0.691289109248009
"ABCB1","TGFBR2",0.690415033809467
"ESAM","RAMP3",0.689298390156765
"SLC24A2","THBS2",0.688992140833722
"CCR2","DOK3",0.688358330290971
"IL2RG","MAP4K1",0.688236644508936
"MS4A1","PPP1R16B",0.687997772867955
"KANK3","ROBO4",0.687431812149245
"APOBR","CSF1",0.686755754489023
"FZD4","PTPRB",0.686487349366316
"CCDC69","CLIC5",0.686020962299824
"CDH5","RHOJ",0.685597252933941
"CSF1","SIGLEC7",0.685244708617655
"CD248","KANK3",0.684630526369222
"CCR2","MAP4K1",0.68437966551525
"CCDC69","PPP1R16B",0.683874468814473
"CCR4","PPP1R16B",0.683737620303194
"ABCB1","TEK",0.683606955581715
"HSH2D","TRAT1",0.683459541881889
"BMX","TEK",0.680362024141049
"CD48","TNFSF13B",0.67978415528447
"CCR4","CLIC5",0.67851943836004
"CLIC5","MS4A1",0.677907715919673
"CCR2","HSH2D",0.67763208936395
"CDH13","THBS2",0.677223489244887
"IL12RB1","MAP4K1",0.675654579286929
"CLIC5","TRAT1",0.675557008559649
"RAMP3","ROBO4",0.674906718966165
"LRP1","SAMD4A",0.674360920850745
"HSH2D","SAMSN1",0.673693376819778
"PPP1R16B","TRAT1",0.672889840109382
"IL6ST","TGFBR2",0.670570596393306
"CCR4","IL2RG",0.669892944753156
"MS4A1","SAMSN1",0.66921001923836
"ADAM12","PTPRG",0.669063294019275
"CCR2","PPP1R16B",0.667859026435923
"CFL1","GUK1",0.667080845551033
"DOK3","HSH2D",0.66509168630035
"MAP4K1","SAMSN1",0.664972280993522
"SAMSN1","TNFSF13B",0.66412591420017
"CCR2","SIGLEC7",0.664064598029877
