"Gene1","Gene2","Correlation"
"ICAM2","JAM2",0.737751359715359
"ADGRA2","CDH5",0.736986872319461
"ITGA7","KANK3",0.736983484267803
"ADGRA2","RECK",0.736473104968812
"ARHGEF15","TEK",0.736054488209444
"CD48","PPP1R16B",0.734106475625043
"CCR4","SLCO5A1",0.733119658301694
"IL12RB1","TNFSF13B",0.732484670250328
"GAS7","PRKD1",0.731394058155052
"ELN","GAS7",0.730783060138423
"ICOS","MS4A1",0.729557830899829
"EDNRB","PTPRB",0.729024401665959
"CD48","TNFSF13B",0.728451001589988
"JAM2","PLPP1",0.727580797205955
"CCR4","MAP4K1",0.727447073927708
"PTPRB","RHOJ",0.726049690642351
"FAM171A1","TGFBR2",0.725828666360381
"FILIP1L","RECK",0.725675012458623
"JAM2","RFTN2",0.724954658492226
"ICAM2","KANK3",0.724696247212461
"CD248","MRGPRF",0.724689359110638
"ABCB1","BMX",0.723810391971978
"IL2RG","MS4A1",0.723608612893617
"EDNRB","PLPP1",0.723511395761679
"PLPP1","TEK",0.723348807759975
"LRCH2","SLC16A7",0.721139217827431
"CALCRL","TGFBR2",0.721036166087648
"GAS7","RFTN2",0.720514870214275
"GAS7","SLC24A2",0.720314265056042
"ADGRA2","RHOJ",0.720236311583157
"AQP1","GYPC",0.720016677166542
"CCR4","MS4A1",0.718565536622325
"ABCB1","TEK",0.718427477101849
"AQP1","PLPP1",0.71828365201391
"CD2","PPP1R16B",0.717785782730908
"CD2","TNFSF13B",0.717544515465097
"JAM2","LRCH2",0.717472748315156
"ADAM12","LRCH2",0.717195302183389
"PLPP1","RHOJ",0.715914812716995
"ADAM12","PRKD1",0.715636081492927
"CCDC69","ICAM2",0.715050879330102
"CRYBG3","TGFBR2",0.714374030609781
"CD2","SLCO5A1",0.714328363999722
"PPP1R16B","TGFBR2",0.713000190088502
"ADAM12","CORIN",0.712795400453975
"MAP4K1","PPP1R16B",0.712674110911276
"EPB41L2","GNG2",0.712587711792857
"ABCB1","RHOJ",0.712074458366079
"BMX","TGFBR2",0.711722471259138
"ADGRA2","FBLN2",0.711320210494454
"GYPC","KANK3",0.71127293633748
"CDH5","FAM171A1",0.711041771127378
"EPB41L2","SLC16A7",0.710800645036375
"RHOJ","ROBO4",0.71016172858161
"CD48","SLCO5A1",0.709461328106346
"SAMSN1","TNFRSF9",0.70892926713971
"BMX","ITGA7",0.708829917791382
"MS4A1","SLCO5A1",0.707442136785862
"ABCB1","MET",0.707277395880375
"ABCB1","FAM171A1",0.706333106421393
"GNG2","PPP1R16B",0.705852762422946
"AQP1","FAM171A1",0.705738371433573
"CLDN19","KLK7",0.705719762949481
"CLCA4","KLK7",0.705592402659741
"LRP1","TGFBR2",0.705575074129061
"CCR2","IL2RG",0.705115291970523
"BMX","PLPP1",0.70508181510692
"ARHGEF15","MCAM",0.704725141404451
"ITGA7","ROBO4",0.704714501965171
"CCR2","TNFRSF9",0.70439197512819
"PRKD1","RFTN2",0.703065674421309
"ABCB1","PTPRB",0.702581219747326
"CD2","SAMSN1",0.702186629172634
"PRKD1","SLIT3",0.702142511236978
"GAS7","THBS2",0.702053746838978
"CD48","MYO1G",0.701375752263127
"KANK3","ROBO4",0.700671406721677
"ADAM12","FBLN2",0.700450098489635
"PRKD1","THBS2",0.70033089587306
"IL12RB1","MS4A1",0.700110555698784
